,clients,commits,deploy,drops,duration,finished,location,metric,pid,quorum,replica,runid,started,throughput,version
53,27,5022,virginia,0,933.992261ms,2018-08-24 19:55:14.046763+00:00,virginia,server,78,3,alia-virginia-78,111,2018-08-24 19:55:13.112759+00:00,5376.918214100706,0.3.6
54,4,2000,virginia,0,744.719361ms,2018-08-24 19:27:33.591384+00:00,virginia,server,78,3,alia-virginia-78,88,2018-08-24 19:27:32.846664+00:00,2685.5754056325654,0.3.6
55,25,5025,virginia,0,1.044000054s,2018-08-24 18:22:38.353263+00:00,virginia,server,78,5,alia-virginia-78,67,2018-08-24 18:22:37.309263+00:00,4813.218141845038,0.3.6
56,28,5012,virginia,0,840.640235ms,2018-08-25 00:38:55.610129+00:00,virginia,server,78,5,alia-virginia-78,238,2018-08-25 00:38:54.769489+00:00,5962.122429222056,0.3.6
57,41,5002,virginia,0,963.792525ms,2018-08-24 18:41:51.676424+00:00,virginia,server,78,5,alia-virginia-78,83,2018-08-24 18:41:50.712631+00:00,5189.913669438347,0.3.6
58,23,5014,virginia,0,1.380734432s,2018-08-25 00:33:03.218986+00:00,virginia,server,78,5,alia-virginia-78,233,2018-08-25 00:33:01.838252+00:00,3631.4007123999927,0.3.6
59,6,3000,virginia,0,1.385654794s,2018-08-24 16:59:06.773889+00:00,virginia,server,78,3,alia-virginia-78,6,2018-08-24 16:59:05.388234+00:00,2165.0414035229037,0.3.6
60,11,5005,virginia,0,1.025672637s,2018-08-24 19:35:58.276000+00:00,virginia,server,78,3,alia-virginia-78,95,2018-08-24 19:35:57.250332+00:00,4879.724601642073,0.3.6
61,15,5010,virginia,0,1.066301435s,2018-08-25 00:23:39.592821+00:00,virginia,server,78,5,alia-virginia-78,225,2018-08-25 00:23:38.526520+00:00,4698.483782871398,0.3.6
62,30,5010,virginia,0,758.029363ms,2018-08-24 23:51:49.754383+00:00,virginia,server,78,3,alia-virginia-78,198,2018-08-24 23:51:48.996353+00:00,6609.242655419404,0.3.6
63,9,4500,virginia,0,1.159677074s,2018-08-24 23:27:13.626500+00:00,virginia,server,78,3,alia-virginia-78,177,2018-08-24 23:27:12.466833+00:00,3880.390585353591,0.3.6
64,36,5004,virginia,0,973.795109ms,2018-08-24 20:06:02.503261+00:00,virginia,server,78,3,alia-virginia-78,120,2018-08-24 20:06:01.529466+00:00,5138.657972043686,0.3.6
65,35,5005,virginia,0,804.271907ms,2018-08-24 18:09:20.032965+00:00,virginia,server,78,3,alia-virginia-78,56,2018-08-24 18:09:19.228693+00:00,6223.0197977063,0.3.6
66,41,5002,virginia,0,810.729744ms,2018-08-25 00:04:41.859785+00:00,virginia,server,78,3,alia-virginia-78,209,2018-08-25 00:04:41.049056+00:00,6169.750199765706,0.3.6
67,10,5000,virginia,0,1.347951563s,2018-08-24 20:25:25.604801+00:00,virginia,server,78,5,alia-virginia-78,136,2018-08-24 20:25:24.256849+00:00,3709.3320986044955,0.3.6
68,19,5016,virginia,0,1.011636515s,2018-08-24 17:47:57.464756+00:00,virginia,server,78,5,alia-virginia-78,40,2018-08-24 17:47:56.453120+00:00,4958.302636990125,0.3.6
69,35,5005,virginia,0,859.519557ms,2018-08-24 20:55:34.165100+00:00,virginia,server,78,5,alia-virginia-78,161,2018-08-24 20:55:33.305632+00:00,5823.020499346241,0.3.6
70,8,4000,virginia,0,1.076565684s,2018-08-24 17:12:25.960687+00:00,virginia,server,78,5,alia-virginia-78,17,2018-08-24 17:12:24.884121+00:00,3715.51876438967,0.3.6
71,38,5016,virginia,0,1.087791424s,2018-08-25 00:50:39.905967+00:00,virginia,server,78,5,alia-virginia-78,248,2018-08-25 00:50:38.818167+00:00,4611.178107614866,0.3.6
