,clients,commits,deploy,drops,duration,finished,location,metric,pid,quorum,replica,runid,started,throughput,version
118,40,5040,virginia,0,491.384745ms,2018-08-27 16:43:50.960715+00:00,virginia,server,78,3,alia-virginia-78,40,2018-08-27 16:43:50.469331+00:00,10256.728665844113,0.4
119,35,5005,virginia,0,634.511977ms,2018-08-27 19:13:18.227900+00:00,virginia,server,78,5,alia-virginia-78,161,2018-08-27 19:13:17.593455+00:00,7887.951971630002,0.4
120,17,5015,virginia,0,623.227837ms,2018-08-27 16:16:10.219422+00:00,virginia,server,78,3,alia-virginia-78,17,2018-08-27 16:16:09.596194+00:00,8046.816432559319,0.4
121,38,5016,virginia,0,769.336618ms,2018-08-28 17:19:06.474907+00:00,virginia,server,78,5,alia-virginia-78,248,2018-08-28 17:19:05.705570+00:00,6519.902839201656,0.4
122,17,5015,virginia,0,872.267095ms,2018-08-28 20:51:38.019226+00:00,virginia,server,78,5,alia-virginia-78,395,2018-08-28 20:51:37.146950+00:00,5749.385742907108,0.4
123,18,5004,virginia,0,794.931338ms,2018-08-27 17:08:03.016977+00:00,virginia,server,78,5,alia-virginia-78,60,2018-08-27 17:08:02.222046+00:00,6294.883294687773,0.4
124,31,5024,virginia,0,544.881439ms,2018-08-27 18:18:45.383283+00:00,virginia,server,78,3,alia-virginia-78,116,2018-08-27 18:18:44.838400+00:00,9220.354448520682,0.4
125,25,5025,virginia,0,809.753234ms,2018-08-28 21:00:10.976318+00:00,virginia,server,78,5,alia-virginia-78,403,2018-08-28 21:00:10.166565+00:00,6205.594234156526,0.4
126,35,5005,virginia,0,754.93108ms,2018-08-28 18:39:42.119151+00:00,virginia,server,78,3,alia-virginia-78,287,2018-08-28 18:39:41.364220+00:00,6629.744267516447,0.4
127,37,5032,virginia,0,502.129215ms,2018-08-27 16:40:14.567357+00:00,virginia,server,78,3,alia-virginia-78,37,2018-08-27 16:40:14.065228+00:00,10021.324889451016,0.4
